"","date","time_berth","queue_pola","queue_polb","terminal_pola","terminal_polb","turn_pola","turn_polb"
"69","2022-03-10",6.91626702807895,17.1160593792173,14.0343176376696,69.4702354176038,69.2312849162011,86.5862947968211,83.2656025538707
"70","2022-03-11",7.18527536603338,17.057399103139,13.7510655090766,70.4898355754858,68.150591949487,87.5472346786248,81.9016574585635
"71","2022-03-12",6.91115686426851,16.7090693186878,13.0710227272727,70.9168769481965,67.1431502525252,87.6259462668844,80.214172979798
"72","2022-03-13",6.9140625,16.4221105527638,13.1971428571429,71.3060892698788,66.4092063492063,87.7281998226426,79.6063492063492
"73","2022-03-14",7.02774265794892,16.5298685782557,13.1625257160943,71.7501493428913,66.383288495015,88.280017921147,79.5458142111094
"74","2022-03-15",5.79577479801317,16.9436050860135,14.2964746078584,70.0523560209424,64.3039291815499,86.9959611069559,78.6004037894083
"75","2022-03-16",5.59560507823116,17.1112610586295,15.3788209606987,69.0308891887839,62.396288209607,86.1421502474134,77.7751091703057
"76","2022-03-17",5.18023278989118,17.2981217129977,15.3817498826107,70.5095416979715,62.997495695727,87.8076634109692,78.3792455783378
"77","2022-03-18",5.34881333175374,17.5523895673149,15.6523189326557,72.9936680235188,63.6343710292249,90.5460575908337,79.2866899618806
"78","2022-03-19",4.87548654417612,17.3565573770492,15.1599302583611,74.250758955677,63.9090188619433,91.6073163327262,79.0689491203043
"79","2022-03-20",5.6565791154836,17.8282338685247,15.0597439544808,74.8230839139655,64.3459775565039,92.6513177824902,79.4057215109847
"80","2022-03-21",6.3267081900158,17.7250677915035,15.0116407110272,75.4159385357035,64.0528551203398,93.141006327207,79.064495831367
"81","2022-03-22",6.23016772024701,17.8378988561108,14.2472998729352,76.7354003612282,64.3337039390089,94.573299217339,78.5810038119441
"82","2022-03-23",6.30410413730205,17.1336032388664,12.9952985425482,76.707902234218,63.7287259050306,93.8415054730844,76.7240244475788
"83","2022-03-24",6.66294826796887,17.3550029958059,12.2349256068912,75.9592570401438,62.4015661707126,93.3142600359497,74.6364917776038
"84","2022-03-25",7.02715560593241,17.3521693752796,13.3161798794622,74.5459967198449,61.7032916087158,91.8981660951245,75.019471488178
"85","2022-03-26",7.09749586881912,17.5140740740741,14.3416985462892,74.1139259259259,61.0466717674063,91.628,75.3883703136955
"86","2022-03-27",7.02493036211699,16.9133637837041,14.3906416704771,73.7789892441432,60.5333028501753,90.6923530278474,74.9239445206523
"87","2022-03-28",6.76170743482459,16.9469405852793,14.5154178230034,73.2378066804611,60.8837496145544,90.1847472657405,75.3991674375578
"88","2022-03-29",6.16300765320373,16.2767923684603,14.2403148634048,73.4116857952005,60.551937027319,89.6884781636608,74.7922518907239
"89","2022-03-30",6.28199345807684,15.8724862207657,14.3502297090352,74.2816922389394,60.0039816232772,90.154178459705,74.3542113323124
"90","2022-03-31",6.52175986646,14.6498205741627,14.6252863032524,76.2870813397129,59.4506031455184,90.9369019138756,74.0758894487708
"91","2022-04-01",6.39352786969788,14.4798387096774,12.6877397575572,76.239247311828,57.2013196255946,90.7190860215054,69.8890593831518
"92","2022-04-02",6.32576689551173,15.2724559832886,11.6580199539524,76.0458072217249,56.1981580966999,91.3182632050134,67.8561780506523
"93","2022-04-03",7.38199237115231,15.2960154623848,11.6365598027127,76.8652988403211,56.6982120838471,92.1613143027059,68.3347718865598
"94","2022-04-04",7.83211220786269,15.3104064314426,11.6646586345382,76.744826559476,56.7514674080939,92.0552329909186,68.4161260426321
"95","2022-04-05",8.28503659954133,15.5520448840986,11.5582501918649,75.8573748708106,56.0879508825787,91.4094197549092,67.6462010744436
